word,stem,onset,offset,word_freq
was,was,32.202,32.392,6966.8
very,very,32.392,32.702,945.6
busy,busy,32.702,33.062,29.864
trying,trying,33.062,33.422,90.083
to,to,33.422,33.542,24495
unscrew,unscrew,33.542,34.052,0.2151
a,a,34.052,34.162,19384
bolt,bolt,34.162,34.542,6.5207
in,in,34.542,34.612,21385
my,my,34.612,34.812,1370.3
engine,engine,34.812,35.262,40.622
that,that,35.262,35.422,10130
had,had,35.422,35.522,3312.1
got,got,35.522,35.782,206.35
stuck,stuck,35.782,36.261,15.294
i,i,36.724,37.059,4918.5
was,was,37.059,37.27,6966.8
very,very,37.27,37.599,945.6
worried,worried,37.599,38.15,15.851
because,because,38.15,38.5,775.24
my,my,38.5,38.69,1370.3
breakdown,breakdown,38.69,39.27,12.528
was,was,39.27,39.45,6966.8
beginning,beginning,39.45,39.779,144.75
to,to,39.779,39.849,24495
appear,appear,39.849,40.349,144.31
to,to,40.349,40.51,24495
be,be,40.51,40.669,6101
very,very,40.669,41.01,945.6
serious,serious,41.01,41.773,97.933
and,and,41.972,42.107,28654
i,i,42.107,42.227,4918.5
had,had,42.227,42.397,3312.1
so,so,42.397,42.697,1834.7
little,little,42.697,42.947,560.69
drinking,drinking,42.947,43.417,29.603
water,water,43.417,43.837,449.89
left,left,43.837,44.152,388.43
that,that,44.605,44.73,10130
i,i,44.73,44.831,4918.5
had,had,44.831,45.041,3312.1
to,to,45.041,45.131,24495
fear,fear,45.131,45.37,105.12
the,the,45.37,45.471,67225
worst,worst,45.471,46.015,31.072
what,what,47.112,47.377,1547.8
are,are,47.377,47.447,4685
the,the,47.447,47.547,67225
thorns,thorns,47.547,48.107,2.907
for,for,48.107,48.577,8286.8
then,then,48.577,48.977,1105
the,the,49.79,49.855,67225
little,little,49.855,50.115,560.69
prince,prince,50.115,50.555,68.37
never,never,50.555,50.805,465.17
let,let,50.805,50.965,293.13
go,go,50.965,51.185,410.2
of,of,51.185,51.315,39205
a,a,51.315,51.365,19384
question,question,51.365,51.915,281.74
once,once,51.915,52.145,338.46
he,he,52.145,52.285,5204.1
had,had,52.285,52.405,3312.1
asked,asked,52.405,52.655,219.97
it,it,52.655,52.879,7267.4
i,i,53.263,53.668,4918.5
was,was,53.668,53.858,6966.8
upset,upset,53.858,54.328,14.219
over,over,54.328,54.568,905.9
the,the,54.568,54.678,67225
bolt,bolt,54.678,55.308,6.5207
and,and,55.308,55.508,28654
i,i,55.508,55.608,4918.5
said,said,55.608,55.818,959.68
the,the,55.818,55.898,67225
first,first,55.898,56.378,1168.8
thing,thing,56.378,56.598,218.7
that,that,56.598,56.798,10130
came,came,56.798,56.998,372.9
into,into,56.998,57.198,1448.7
my,my,57.198,57.358,1370.3
head,head,57.358,57.707,290.67
the,the,58.36,58.425,67225
thorns,thorns,58.425,58.945,2.907
are,are,58.945,59.005,4685
of,of,59.005,59.145,39205
no,no,59.145,59.305,1773.3
use,use,59.305,59.595,678.36
at,at,59.595,59.795,4321.7
all,all,59.795,60.125,2611.6
flowers,flowers,60.339,60.774,47.877
have,have,60.774,60.954,3516.4
thorns,thorns,60.954,61.424,2.907
just,just,61.424,61.704,575
for,for,61.704,61.774,8286.8
spite,spite,61.774,62.294,44.506
oh,oh,63.301,63.746,81.065
but,but,65.033,65.168,3535.3
after,after,65.168,65.498,1015.7
a,a,65.498,65.528,19384
moment,moment,65.528,65.928,170.72
of,of,65.928,65.988,39205
silence,silence,65.988,66.558,46.381
he,he,66.558,66.678,5204.1
exclaimed,exclaimed,66.678,67.288,16.291
with,with,67.288,67.408,6561.8
a,a,67.408,67.448,19384
sort,sort,67.448,67.758,97.17
of,of,67.758,67.898,39205
resentment,resentment,67.898,68.562,10.136
i,i,69.181,69.316,4918.5
don,do,69.316,69.556,1413.7
t,not,69.556,69.666,5726.1
believe,believe,69.666,69.976,174.78
you,you,69.976,70.206,2959.7
flowers,flowers,70.53,71.025,47.877
are,are,71.025,71.145,4685
weak,weak,71.145,71.485,49.473
creatures,creatures,71.485,72.295,21.287
they,they,72.295,72.42,3117.2
re,are,72.42,72.524,4685
naive,naive,72.524,73.164,7.1983
they,they,73.364,73.719,3117.2
reassure,reassure,73.719,74.329,2.5434
themselves,themselves,74.329,74.869,274.71
as,as,74.869,75.019,7217.4
best,best,75.019,75.369,303.25
they,they,75.369,75.509,3117.2
can,can,75.509,76.003,2108.5
they,they,76.571,76.726,3117.2
think,think,76.726,77.026,357.41
themselves,themselves,77.026,77.566,274.71
frightful,frightful,77.566,78.166,3.8794
with,with,78.166,78.316,6561.8
their,their,78.316,78.506,2725.8
thorns,thorns,78.506,79.16,2.907
i,i,80.173,80.288,4918.5
made,made,80.288,80.528,933.93
no,no,80.528,80.658,1773.3
reply,reply,80.658,81.242,37.893
at,at,81.926,82.091,4321.7
that,that,82.091,82.371,10130
moment,moment,82.371,82.811,170.72
i,i,82.811,82.881,4918.5
was,was,82.881,83.101,6966.8
thinking,thinking,83.101,83.431,108.55
to,to,83.431,83.561,24495
myself,myself,83.561,84.141,114.56
if,if,84.659,84.844,1981.4
this,this,84.844,85.264,4844.1
bolt,bolt,85.264,85.584,6.5207
won,will,85.584,85.864,1880.3
t,not,85.864,85.964,5726.1
budge,budge,85.964,86.354,1.4758
i,i,86.354,86.434,4918.5
ll,will,86.434,86.534,1880.3
knock,knock,86.534,86.764,8.3572
it,it,86.764,86.904,7267.4
out,out,86.904,87.044,1327.1
with,with,87.044,87.164,6561.8
a,a,87.164,87.194,19384
hammer,hammer,87.194,87.633,9.5779
the,the,88.76,88.875,67225
little,little,88.875,89.075,560.69
prince,prince,89.075,89.495,68.37
interrupted,interrupted,89.495,90.055,16.367
my,my,90.055,90.215,1370.3
thoughts,thoughts,90.215,90.655,61.584
again,again,90.655,91.055,412.97
and,and,91.938,92.213,28654
you,you,92.213,92.293,2959.7
actually,actually,92.293,92.963,122.35
believe,believe,92.963,93.523,174.78
that,that,93.523,94.163,10130
flowers,flowers,94.163,94.183,47.877
no,no,94.183,95.083,1773.3
no,no,95.083,95.393,1773.3
i,i,95.393,95.533,4918.5
don,do,95.533,95.743,1413.7
t,not,95.743,95.773,5726.1
believe,believe,95.773,96.053,174.78
it,it,96.053,96.143,7267.4
at,at,96.143,96.363,4321.7
all,all,96.363,96.672,2611.6
i,i,97.11,97.235,4918.5
answered,answered,97.235,97.675,54.332
the,the,97.675,97.755,67225
first,first,97.755,98.265,1168.8
thing,thing,98.265,98.405,218.7
that,that,98.405,98.635,10130
came,came,98.635,98.825,372.9
to,to,98.825,98.965,24495
my,my,98.965,99.135,1370.3
mind,mind,99.135,99.575,278.71
i,i,100.029,100.254,4918.5
myself,myself,100.254,100.934,114.56
am,am,100.934,101.064,298.9
busy,busy,101.064,101.354,29.864
with,with,101.354,101.484,6561.8
matters,matters,101.484,101.854,82.366
of,of,101.854,101.944,39205
consequence,consequence,101.944,102.823,55.178
he,he,103.611,103.756,5204.1
looked,looked,103.756,104.056,174.06
at,at,104.056,104.256,4321.7
me,me,104.256,104.326,1037.6
dumbfounded,dumbfounded,104.326,105.211,0.63686
matters,matters,105.784,106.269,82.366
of,of,106.269,106.419,39205
consequence,consequence,106.419,107.419,55.178
he,he,108.122,108.227,5204.1
watched,watched,108.227,108.647,36.231
me,me,108.647,108.832,1037.6
hammer,hammer,109.077,109.412,9.5779
in,in,109.412,109.552,21385
hand,hand,109.552,110.062,376.36
and,and,110.062,110.192,28654
my,my,110.192,110.322,1370.3
fingers,fingers,110.322,110.932,35.196
black,black,110.932,111.252,229.85
with,with,111.252,111.412,6561.8
grease,grease,111.412,111.891,4.3929
leaning,leaning,112.225,112.62,10.026
on,on,112.62,112.76,5817
an,an,112.76,112.86,3451.6
object,object,112.86,113.34,150.91
that,that,113.34,113.45,10130
would,would,113.45,113.55,1864.7
have,have,113.55,113.64,3516.4
seemed,seemed,113.64,114.02,172.62
to,to,114.02,114.1,24495
him,him,114.1,114.44,1494.9
very,very,114.44,114.86,945.6
ugly,ugly,114.86,115.244,11.154
you,you,115.932,116.078,2959.7
talk,talk,116.078,116.387,106.34
just,just,116.387,116.707,575
like,like,116.707,116.907,898.72
the,the,116.907,116.977,67225
grownups,grownups,116.977,117.687,0.31073
that,that,118.4,118.595,10130
made,made,118.595,118.805,933.93
me,me,118.805,118.925,1037.6
feel,feel,118.925,119.195,163.98
a,a,119.195,119.235,19384
little,little,119.235,119.505,560.69
ashamed,ashamed,119.505,120.134,10.356
but,but,120.578,120.673,3535.3
he,he,120.673,120.793,5204.1
went,went,120.793,121.133,281.29
on,on,121.133,121.333,5817
relentlessly,relentlessly,121.333,122.253,1.6485
you,you,122.976,123.061,2959.7
confuse,confuse,123.061,123.641,4.2419
everything,everything,123.641,124.261,126.87
you,you,124.595,124.7,2959.7
mix,mix,124.7,124.98,22.012
everything,everything,124.98,125.4,126.87
up,up,125.4,125.825,1234.9
he,he,126.418,126.483,5204.1
was,was,126.483,126.643,6966.8
really,really,126.643,127.053,186.65
very,very,127.053,127.473,945.6
angry,angry,127.473,127.973,28.459
he,he,128.232,128.517,5204.1
shook,shook,128.517,128.817,27.109
his,his,128.817,129.028,4572.3
golden,golden,129.028,129.507,38.69
curls,curls,129.507,129.947,2.9785
in,in,129.947,130.037,21385
the,the,130.037,130.107,67225
breeze,breeze,130.107,130.627,9.3591
i,i,131.529,131.695,4918.5
know,know,131.695,131.924,513.45
a,a,131.924,132.014,19384
planet,planet,132.014,132.505,16.155
where,where,132.505,132.635,850.35
there,there,132.635,132.774,2055.7
is,is,132.774,132.885,10615
a,a,132.885,132.945,19384
redfaced,redfaced,132.945,133.665,0.047728
gentleman,gentleman,133.665,134.293,34.957
he,he,134.488,134.683,5204.1
has,has,134.683,134.794,2066.4
never,never,134.794,135.135,465.17
smelled,smelled,135.135,135.535,3.3338
a,a,135.535,135.575,19384
flower,flower,135.575,136.068,27.276
he,he,136.312,136.377,5204.1
has,has,136.377,136.487,2066.4
never,never,136.487,136.757,465.17
looked,looked,136.757,136.977,174.06
at,at,136.977,137.067,4321.7
a,a,137.067,137.107,19384
star,star,137.107,137.637,46.02
he,he,137.865,138.04,5204.1
has,has,138.04,138.127,2066.4
never,never,138.127,138.515,465.17
loved,loved,138.515,138.827,47.899
anyone,anyone,138.827,139.376,66.747
he,he,139.77,139.835,5204.1
has,has,139.835,139.965,2066.4
never,never,139.965,140.275,465.17
done,done,140.275,140.525,260.31
anything,anything,140.525,140.805,159.32
but,but,140.805,141.115,3535.3
sums,sums,141.115,141.955,14.016
and,and,141.955,142.165,28654
all,all,142.165,142.425,2611.6
day,day,142.425,142.765,596.34
long,long,142.765,143.015,604.34
he,he,143.015,143.165,5204.1
repeats,repeats,143.165,143.775,4.9348
just,just,143.775,144.115,575
like,like,144.115,144.355,898.72
you,you,144.355,144.665,2959.7
i,i,144.927,145.085,4918.5
am,am,145.085,145.235,298.9
busy,busy,145.235,145.625,29.864
with,with,145.625,145.785,6561.8
matters,matters,145.785,146.205,82.366
of,of,146.205,146.305,39205
consequence,consequence,146.305,147.177,55.178
and,and,147.397,147.612,28654
that,that,147.612,147.732,10130
makes,makes,147.732,148.042,158.56
him,him,148.042,148.132,1494.9
swell,swell,148.132,148.582,6.187
up,up,148.582,148.772,1234.9
with,with,148.772,148.912,6561.8
pride,pride,148.912,149.426,34.895
but,but,149.855,149.95,3535.3
this,this,149.95,150.17,4844.1
is,is,150.17,150.3,10615
not,not,150.3,150.49,5726.1
a,a,150.49,150.56,19384
man,man,150.56,151,771.06
he,he,151,151.46,5204.1
s,is,151.46,151.52,10615
a,a,151.52,151.56,19384
mushroom,mushroom,151.56,152.259,2.6055
a,a,152.843,152.898,19384
what,what,152.898,153.398,1547.8
a,a,153.752,153.817,19384
mushroom,mushroom,153.817,154.662,2.6055
the,the,155.24,155.305,67225
little,little,155.305,155.555,560.69
prince,prince,155.555,156.075,68.37
was,was,156.075,156.275,6966.8
now,now,156.275,156.615,860.09
white,white,156.615,156.935,283.33
with,with,156.935,157.135,6561.8
rage,rage,157.135,157.644,13.956
flowers,flowers,158.562,159.077,47.877
have,have,159.077,159.187,3516.4
been,been,159.187,159.367,2049.8
growing,growing,159.367,159.737,87.848
thorns,thorns,159.737,160.237,2.907
for,for,160.237,160.477,8286.8
millions,millions,160.477,160.937,33.663
of,of,160.937,161.027,39205
years,years,161.027,161.572,713.11
for,for,161.896,162.081,8286.8
millions,millions,162.081,162.501,33.663
of,of,162.501,162.601,39205
years,years,162.601,162.991,713.11
the,the,162.991,163.071,67225
sheep,sheep,163.071,163.401,28.602
have,have,163.401,163.521,3516.4
eaten,eaten,163.521,163.951,14.052
the,the,163.951,164.021,67225
flowers,flowers,164.021,164.531,47.877
all,all,164.531,164.741,2611.6
the,the,164.741,164.821,67225
same,same,164.821,165.345,790.7
and,and,165.759,165.974,28654
it,it,165.974,166.114,7267.4
s,is,166.114,166.174,10615
not,not,166.174,166.484,5726.1
a,a,166.484,166.524,19384
matter,matter,166.524,166.714,250.72
of,of,166.714,166.944,39205
consequence,consequence,166.944,167.674,55.178
to,to,167.674,167.754,24495
try,try,167.754,168.044,108.91
to,to,168.044,168.174,24495
understand,understand,168.174,168.854,141
why,why,168.854,169.124,292.22
they,they,169.124,169.244,3117.2
take,take,169.244,169.544,479.41
so,so,169.544,169.824,1834.7
much,much,169.824,170.094,761.24
trouble,trouble,170.094,170.504,63.291
to,to,170.504,170.594,24495
grow,grow,170.594,170.834,56.074
thorns,thorns,170.834,171.294,2.907
which,which,171.294,171.464,3975.8
are,are,171.464,171.534,4685
never,never,171.534,171.904,465.17
of,of,171.904,171.994,39205
any,any,171.994,172.284,1245.4
use,use,172.284,172.703,678.36
is,is,173.356,173.521,10615
the,the,173.521,173.641,67225
war,war,173.641,173.871,424.76
between,between,173.871,174.201,942.04
the,the,174.201,174.271,67225
flowers,flowers,174.271,174.851,47.877
and,and,174.851,174.991,28654
sheep,sheep,174.991,175.361,28.602
not,not,175.361,175.621,5726.1
important,important,175.621,176.315,403.62
is,is,176.63,176.965,10615
it,it,176.965,177.115,7267.4
not,not,177.115,177.315,5726.1
of,of,177.315,177.435,39205
more,more,177.435,177.705,1958.9
consequence,consequence,177.705,178.425,55.178
and,and,178.425,178.555,28654
more,more,178.555,178.765,1958.9
important,important,178.765,179.325,403.62
than,than,179.325,179.455,1500.3
the,the,179.455,179.525,67225
sums,sums,179.525,179.965,14.016
of,of,179.965,180.075,39205
a,a,180.075,180.125,19384
fat,fat,180.125,180.585,43.766
redfaced,redfaced,180.585,181.275,0.047728
gentleman,gentleman,181.275,181.843,34.957
and,and,182.202,182.587,28654
if,if,182.587,182.717,1981.4
i,i,182.717,182.887,4918.5
myself,myself,182.887,183.567,114.56
know,know,183.567,183.827,513.45
of,of,183.827,183.937,39205
a,a,183.937,183.987,19384
unique,unique,183.987,184.527,47.743
flower,flower,184.527,184.957,27.276
which,which,184.957,185.197,3975.8
grows,grows,185.197,185.467,19.776
nowhere,nowhere,185.467,185.917,15.567
but,but,185.917,186.077,3535.3
on,on,186.077,186.207,5817
my,my,186.207,186.447,1370.3
planet,planet,186.447,187.237,16.155
that,that,187.237,187.427,10130
a,a,187.427,187.477,19384
little,little,187.477,187.817,560.69
sheep,sheep,187.817,188.187,28.602
can,can,188.187,188.367,2108.5
destroy,destroy,188.367,188.717,29.637
in,in,188.717,188.887,21385
one,one,188.887,189.247,2720.8
stroke,stroke,189.247,189.807,20.895
just,just,189.807,190.157,575
like,like,190.157,190.387,898.72
that,that,190.387,190.707,10130
one,one,190.707,190.937,2720.8
morning,morning,190.937,191.367,138.82
without,without,191.367,191.807,589.46
realising,realising,191.807,192.397,1.6991
what,what,192.397,192.557,1547.8
he,he,192.557,192.717,5204.1
s,is,192.717,192.817,10615
done,done,192.817,193.057,260.31
is,is,193.057,193.467,10615
that,that,193.467,193.617,10130
not,not,193.617,194.217,5726.1
important,important,194.217,194.999,403.62
he,he,195.582,195.697,5204.1
blushed,blushed,195.697,196.237,1.9685
and,and,196.237,196.357,28654
continued,continued,196.357,197.011,156.57
if,if,197.854,197.969,1981.4
someone,someone,197.969,198.449,87.747
loves,loves,198.449,198.739,15.228
a,a,198.739,198.799,19384
flower,flower,198.799,199.309,27.276
of,of,199.309,199.409,39205
which,which,199.409,199.789,3975.8
just,just,199.789,200.159,575
one,one,200.159,200.459,2720.8
specimen,specimen,200.459,201.139,21.191
exists,exists,201.139,201.619,51.234
amongst,amongst,201.619,202.019,30.197
the,the,202.019,202.219,67225
millions,millions,202.219,202.669,33.663
and,and,202.669,202.919,28654
millions,millions,202.919,203.369,33.663
of,of,203.369,203.469,39205
stars,stars,203.469,204.249,38.881
it,it,204.249,204.409,7267.4
s,is,204.409,204.439,10615
enough,enough,204.439,204.759,239.22
to,to,204.759,204.919,24495
make,make,204.919,205.129,636.59
him,him,205.129,205.219,1494.9
happy,happy,205.219,205.639,74.906
when,when,205.639,205.789,1924.1
he,he,205.789,205.879,5204.1
looks,looks,205.879,206.159,52.103
at,at,206.159,206.259,4321.7
them,them,206.259,206.512,1518.8
he,he,206.886,206.991,5204.1
can,can,206.991,207.151,2108.5
say,say,207.151,207.506,392.56
my,my,207.766,208.051,1370.3
flower,flower,208.051,208.541,27.276
is,is,208.541,208.711,10615
out,out,208.711,208.931,1327.1
there,there,208.931,209.121,2055.7
somewhere,somewhere,209.121,209.67,27.71
but,but,210.249,210.374,3535.3
if,if,210.374,210.524,1981.4
the,the,210.524,210.624,67225
sheep,sheep,210.624,211.054,28.602
eats,eats,211.054,211.354,4.0541
the,the,211.354,211.424,67225
flower,flower,211.424,211.904,27.276
for,for,211.904,212.174,8286.8
him,him,212.174,212.594,1494.9
it,it,212.594,212.724,7267.4
s,is,212.724,212.764,10615
as,as,212.764,212.874,7217.4
if,if,212.874,213.004,1981.4
suddenly,suddenly,213.004,213.664,73.465
all,all,213.664,213.884,2611.6
the,the,213.884,213.974,67225
stars,stars,213.974,214.454,38.881
have,have,214.454,214.584,3516.4
gone,gone,214.584,214.814,103.8
out,out,214.814,215.153,1327.1
and,and,215.542,215.727,28654
you,you,215.727,215.847,2959.7
think,think,215.847,216.087,357.41
that,that,216.087,216.237,10130
s,is,216.237,216.287,10615
not,not,216.287,216.457,5726.1
important,important,216.457,217.191,403.62
he,he,218.089,218.154,5204.1
couldn,could,218.154,218.434,1122.9
t,not,218.434,218.474,5726.1
say,say,218.474,218.654,392.56
anything,anything,218.654,219.084,159.32
more,more,219.084,219.399,1958.9
he,he,219.983,220.058,5204.1
suddenly,suddenly,220.058,220.568,73.465
burst,burst,220.568,221.038,19.914
into,into,221.038,221.238,1448.7
tears,tears,221.238,221.817,36.432
night,night,222.555,222.93,225.12
had,had,222.93,223.08,3312.1
fallen,fallen,223.08,223.555,34.197
i,i,224.548,224.643,4918.5
had,had,224.643,224.803,3312.1
put,put,224.803,225.003,297.14
down,down,225.003,225.333,534.99
my,my,225.333,225.523,1370.3
tools,tools,225.523,226.117,47.515
of,of,226.651,226.786,39205
what,what,226.786,227.056,1547.8
moment,moment,227.056,227.606,170.72
was,was,227.606,227.756,6966.8
my,my,227.756,227.916,1370.3
hammer,hammer,227.916,228.406,9.5779
my,my,228.406,228.636,1370.3
bolt,bolt,228.636,229.256,6.5207
or,or,229.256,229.446,4643.6
thirst,thirst,229.446,230.126,7.7066
or,or,230.126,230.226,4643.6
death,death,230.226,230.72,271.24
there,there,231.538,231.723,2055.7
was,was,231.723,232.133,6966.8
on,on,232.133,232.273,5817
a,a,232.273,232.323,19384
star,star,232.323,232.893,46.02
on,on,232.893,233.173,5817
a,a,233.173,233.233,19384
planet,planet,233.233,233.863,16.155
my,my,233.863,234.143,1370.3
planet,planet,234.143,234.793,16.155
earth,earth,234.793,235.216,153.62
a,a,235.72,235.805,19384
little,little,235.805,236.055,560.69
prince,prince,236.055,236.585,68.37
to,to,236.585,236.685,24495
be,be,236.685,236.805,6101
comforted,comforted,236.805,237.489,2.7511
i,i,238.242,238.357,4918.5
took,took,238.357,238.647,284.28
him,him,238.647,238.737,1494.9
in,in,238.737,238.877,21385
my,my,238.877,239.077,1370.3
arms,arms,239.077,239.587,102.5
i,i,239.831,239.926,4918.5
rocked,rocked,239.926,240.366,2.2136
him,him,240.366,240.531,1494.9
i,i,240.795,240.94,4918.5
said,said,240.94,241.305,959.68
the,the,242.008,242.073,67225
flower,flower,242.073,242.553,27.276
that,that,242.553,242.763,10130
you,you,242.763,242.903,2959.7
love,love,242.903,243.223,266.05
isn,is,243.223,243.493,10615
t,not,243.493,243.603,5726.1
in,in,243.603,243.703,21385
danger,danger,243.703,244.238,65.642
i,i,244.822,244.907,4918.5
ll,will,244.907,244.967,1880.3
draw,draw,244.967,245.267,58.2
you,you,245.267,245.477,2959.7
a,a,245.477,245.537,19384
muzzle,muzzle,245.537,245.917,2.421
for,for,245.917,246.087,8286.8
your,your,246.087,246.227,950.53
sheep,sheep,246.227,246.937,28.602
i,i,246.937,246.989,4918.5
ll,will,246.989,247.067,1880.3
draw,draw,247.067,247.217,58.2
you,you,247.217,247.457,2959.7
a,a,247.457,247.577,19384
railing,railing,247.577,248.037,2.5093
for,for,248.037,248.187,8286.8
your,your,248.187,248.297,950.53
flower,flower,248.297,249.107,27.276
i.,i,249.107,249.307,4918.5
i.,i,249.307,249.415,4918.5
i,i,250.248,250.333,4918.5
wasn,was,250.333,250.603,6966.8
t,not,250.603,250.643,5726.1
sure,sure,250.643,250.883,146.98
what,what,250.883,251.073,1547.8
to,to,251.073,251.163,24495
say,say,251.163,251.568,392.56
i,i,252.436,252.591,4918.5
felt,felt,252.591,252.941,187.75
very,very,252.941,253.291,945.6
awkward,awkward,253.291,253.761,8.3972
i,i,254.289,254.394,4918.5
didn,did,254.394,254.604,873.35
t,not,254.604,254.654,5726.1
know,know,254.654,254.804,513.45
how,how,254.804,254.994,797.72
to,to,254.994,255.124,24495
reach,reach,255.124,255.514,79.861
him,him,255.514,255.694,1494.9
where,where,255.694,255.944,850.35
to,to,255.944,256.074,24495
find,find,256.074,256.464,347.27
him,him,256.464,256.684,1494.9
it,it,257.457,257.562,7267.4
s,is,257.562,257.602,10615
so,so,257.602,257.762,1834.7
secretive,secretive,257.762,258.572,1.203
the,the,258.572,258.712,67225
land,land,258.712,259.032,291.44
of,of,259.032,259.142,39205
tears,tears,259.142,259.741,36.432
i,i,260.835,260.98,4918.5
learned,learned,260.98,261.34,90.888
very,very,261.34,261.71,945.6
quickly,quickly,261.71,262.21,85.185
to,to,262.21,262.44,24495
know,know,262.44,262.6,513.45
this,this,262.6,262.9,4844.1
flower,flower,262.9,263.27,27.276
better,better,263.27,263.734,285.07
there,there,264.413,264.758,2055.7
had,had,264.758,264.868,3312.1
always,always,264.868,265.268,366.31
been,been,265.268,265.508,2049.8
very,very,265.508,265.868,945.6
simple,simple,265.868,266.428,155.56
flowers,flowers,266.428,266.958,47.877
on,on,266.958,267.068,5817
the,the,267.068,267.138,67225
planet,planet,267.138,267.628,16.155
of,of,267.628,267.708,39205
the,the,267.708,267.828,67225
little,little,267.828,268.108,560.69
prince,prince,268.108,268.808,68.37
decorated,decorated,268.808,269.568,12.058
with,with,269.568,269.688,6561.8
a,a,269.688,269.738,19384
single,single,269.738,270.408,206.63
row,row,270.408,270.688,37.964
of,of,270.688,270.808,39205
petals,petals,270.808,271.678,3.9838
that,that,271.678,271.908,10130
didn,did,271.908,272.138,873.35
t,not,272.138,272.168,5726.1
take,take,272.168,272.488,479.41
up,up,272.488,272.668,1234.9
any,any,272.668,272.918,1245.4
space,space,272.918,273.448,161.98
and,and,273.448,273.588,28654
didn,did,273.588,273.758,873.35
t,not,273.758,273.788,5726.1
bother,bother,273.788,274.168,8.2019
anyone,anyone,274.168,274.694,66.747
they,they,275.252,275.617,3117.2
would,would,275.617,275.767,1864.7
appear,appear,275.767,276.197,144.31
one,one,276.197,276.487,2720.8
morning,morning,276.487,276.907,138.82
in,in,276.907,277.047,21385
the,the,277.047,277.107,67225
grass,grass,277.107,277.627,36.853
and,and,278.006,278.241,28654
by,by,278.241,278.471,5954.5
evening,evening,278.471,278.931,84.907
they,they,278.931,279.081,3117.2
d,would,279.081,279.111,1864.7
have,have,279.111,279.201,3516.4
faded,faded,279.201,279.561,8.4459
away,away,279.561,279.936,308.57
but,but,280.774,280.909,3535.3
this,this,280.909,281.329,4844.1
one,one,281.329,281.499,2720.8
had,had,281.499,281.649,3312.1
sprouted,sprouted,281.649,282.249,0.83473
one,one,282.249,282.479,2720.8
day,day,282.479,282.709,596.34
from,from,282.709,282.969,4392.3
a,a,282.969,283.019,19384
seed,seed,283.019,283.509,33.643
blown,blown,283.509,283.859,10.002
in,in,283.859,284.089,21385
from,from,284.089,284.359,4392.3
no,no,284.359,284.589,1773.3
one,one,284.589,284.799,2720.8
knows,knows,284.799,285.179,64.228
where,where,285.179,285.522,850.35
and,and,285.852,286.327,28654
the,the,286.327,286.387,67225
little,little,286.387,286.607,560.69
prince,prince,286.607,287.067,68.37
had,had,287.067,287.217,3312.1
watched,watched,287.217,287.567,36.231
very,very,287.567,287.907,945.6
closely,closely,287.907,288.587,62.897
this,this,288.587,288.767,4844.1
sprout,sprout,288.767,289.397,1.3283
that,that,289.397,289.517,10130
was,was,289.517,289.697,6966.8
not,not,289.697,289.897,5726.1
like,like,289.897,290.187,898.72
the,the,290.187,290.277,67225
other,other,290.277,290.477,1751.2
sprouts,sprouts,290.477,291.099,1.5781
it,it,291.648,291.793,7267.4
could,could,291.793,291.923,1122.9
have,have,291.923,292.023,3516.4
been,been,292.023,292.183,2049.8
a,a,292.183,292.273,19384
new,new,292.273,292.453,1358.9
kind,kind,292.453,292.743,233.63
of,of,292.743,292.893,39205
baobab,baobab,292.893,293.522,0.19186
but,but,294.295,294.65,3535.3
the,the,294.65,294.75,67225
shrub,shrub,294.75,295.28,3.0827
soon,soon,295.28,295.73,203.43
stopped,stopped,295.73,296.24,56.552
growing,growing,296.24,296.719,87.848
and,and,296.963,297.128,28654
began,began,297.128,297.528,206.7
to,to,297.528,297.618,24495
produce,produce,297.618,298.098,120.76
a,a,298.098,298.128,19384
flower,flower,298.128,298.623,27.276
the,the,299.506,299.601,67225
little,little,299.601,299.891,560.69
prince,prince,299.891,300.711,68.37
who,who,300.711,300.911,1854.3
witnessed,witnessed,300.911,301.371,14.181
the,the,301.371,301.531,67225
appearance,appearance,301.531,302.091,83.558
of,of,302.091,302.191,39205
a,a,302.191,302.241,19384
huge,huge,302.241,302.961,41.636
bud,bud,302.961,303.801,6.5656
felt,felt,303.801,304.101,187.75
that,that,304.101,304.261,10130
a,a,304.261,304.421,19384
miraculous,miraculous,304.421,305.021,6.059
apparition,apparition,305.021,305.771,2.1558
must,must,305.771,306.051,839.4
emerge,emerge,306.051,306.461,16.379
from,from,306.461,306.631,4392.3
it,it,306.631,306.853,7267.4
but,but,307.496,307.611,3535.3
the,the,307.611,307.701,67225
flower,flower,307.701,308.191,27.276
never,never,308.191,308.531,465.17
stopped,stopped,308.531,308.901,56.552
preparing,preparing,308.901,309.491,26.123
for,for,309.491,309.671,8286.8
her,her,309.671,309.771,2067.8
future,future,309.771,310.231,191.3
beauty,beauty,310.231,310.771,61.837
safe,safe,310.771,311.371,53.585
in,in,311.371,311.511,21385
her,her,311.511,311.681,2067.8
green,green,311.681,312.081,107.47
chamber,chamber,312.081,312.63,41.252
she,she,313.183,313.348,1763.3
chose,chose,313.348,313.768,26.508
her,her,313.768,313.888,2067.8
colours,colors,313.888,314.358,26.204
carefully,carefully,314.358,314.948,63.834
she,she,315.247,315.392,1763.3
dressed,dressed,315.392,315.802,27.618
slowly,slowly,315.802,316.442,63.284
she,she,316.661,317.096,1763.3
arranged,arranged,317.096,317.666,39.8
